Area,Perimeter,MajorAxisLength,MinorAxisLength,roundnes,Class
138059,1459.686,540.6778226417067,334.1664759113832,0.8142461279584371,BOMBAY
138114,1368.7309999999998,483.71736484674835,364.51902251917824,0.9264273336746671,BOMBAY
138244,1395.6989999999998,510.6812514630476,346.64539184650937,0.8918105808296853,BOMBAY
138265,1396.139,512.8063506602302,345.1812988833499,0.8913839379203796,BOMBAY
138659,1415.4389999999999,509.82752074251476,347.5854183385508,0.8697123005325534,BOMBAY
138777,1403.006,502.61346399732065,353.81141168706904,0.8859481433452536,BOMBAY
138976,1404.3769999999997,509.41007676631807,351.6482863705992,0.8854871337287343,BOMBAY
139523,1410.901,501.72152896971613,354.9685707483852,0.8807701492914963,BOMBAY
139639,1379.1829999999998,473.78059792446135,376.55024111310007,0.9225136551891111,BOMBAY
139686,1402.2930000000001,508.6819485108108,350.9469320143291,0.8926582292246344,BOMBAY
139841,1430.241,524.8024562900072,341.3400849100567,0.8590648267224755,BOMBAY
140313,1432.029,517.4259023055909,347.25430444360313,0.8598132795859827,BOMBAY
140867,1414.3359999999998,500.30777555712854,360.1775879144642,0.8849402280201298,BOMBAY
140964,1425.6000000000001,538.2389592390726,334.91057884588076,0.8716110058147717,BOMBAY
141385,1429.427,525.900923981084,344.3551184304276,0.8695393454470731,BOMBAY
141519,1442.904,523.100668094997,347.09579257032027,0.8541806724276235,BOMBAY
141850,1432.847,524.9234706596247,346.91092007813637,0.8682395535744248,BOMBAY
141953,1402.0499999999997,524.2311633301414,346.3974997887093,0.9074598849389858,BOMBAY
142154,1378.1129999999998,501.72937442842505,361.66975262330084,0.94058768780021,BOMBAY
142238,1425.3619999999999,516.4426266783904,351.4148645306869,0.8797821542168259,BOMBAY
142399,1430.2749999999999,524.5884123459219,347.2617724446897,0.874737425779617,BOMBAY
142592,1408.745,519.7756355353764,351.2923849138061,0.9029012395390229,BOMBAY
143603,1405.2069999999999,516.0199143520155,356.29380306876277,0.9138875643394095,BOMBAY
144058,1463.258,536.887519610584,343.96283911771536,0.8454840726034955,BOMBAY
144079,1462.012,534.5994627253992,346.3307358481321,0.8470492749093415,BOMBAY
31519,676.641,255.07356214472412,157.8027399554127,0.865098731000994,SIRA
31751,671.914,244.102718983492,168.52249113548174,0.8837712953992015,SIRA
32857,668.106,233.8049677434743,179.50091904470636,0.925011277935379,SIRA
33180,670.4879999999999,240.96950050439983,175.6450401951203,0.9274793023955978,SIRA
33206,680.4229999999999,260.0898266204468,163.10271955282377,0.9012981024646556,SIRA
33318,688.874,257.46489859880046,165.03685698134495,0.8822856195736185,SIRA
33462,689.9369999999999,265.4699790952273,161.0284950863519,0.8833704898592263,SIRA
33493,683.487,252.77237613463817,169.43503989323713,0.9009556148009668,SIRA
33540,697.714,257.48914332091493,166.55929194693954,0.8658009289789373,SIRA
33587,672.5749999999999,240.37704521788206,178.6807735755456,0.9330386574018021,SIRA
33605,687.194,259.05473780676743,165.83715071142558,0.894241963516719,SIRA
33634,670.5299999999999,242.67496566991971,176.8391368517676,0.9400521722654455,SIRA
33680,683.09,256.2032550126246,167.93349377401958,0.9070392732440553,SIRA
33739,686.903,255.80434414241836,168.59263824125773,0.898568611774655,SIRA
33885,680.0219999999999,245.42539992220358,176.31607983134234,0.9208129695022486,SIRA
34031,691.801,265.571583378211,163.6202103503538,0.893556882233344,SIRA
34099,670.159,237.77220531252794,183.22493086326125,0.9541041791532976,SIRA
34112,693.8,258.13990439899857,168.69662584377485,0.8905297981209598,SIRA
34146,789.379,247.66086682927713,176.13797297760848,0.6886183046733472,SIRA
34189,687.252,249.0621246954887,174.9936597470478,0.9096288739110405,SIRA
34238,698.847,255.8292238241057,170.86709850866964,0.8809556419209371,SIRA
34242,682.082,247.61937688515698,177.08464763495104,0.924902193602769,SIRA
34459,698.401,254.09931378427837,173.05990934981824,0.8877748324008902,SIRA
34593,697.5219999999999,259.7300931846858,170.16276640032814,0.8934747240982055,SIRA
34645,702.351,259.16234213153035,171.45866505866545,0.8825554872290535,SIRA
34663,691.502,252.52516057586496,175.3797060794673,0.9109386522232863,SIRA
34668,704.917,268.27453347154943,166.9007759039362,0.8767235720104369,SIRA
34717,700.168,262.51620288240014,168.811052595626,0.8899129713692605,SIRA
34783,724.442,252.19448905463588,175.88853515756136,0.8328555018207997,SIRA
34825,704.926,264.5936480183313,168.28556084632896,0.8806714774598045,SIRA
34862,702.7179999999998,264.01849172119273,168.73778126061154,0.8871560252329491,SIRA
34892,710.337,273.7491085436295,163.0004469246815,0.8689741438224775,SIRA
34894,707.258,264.3841713405695,168.96004306901642,0.8766068975860014,SIRA
34942,701.8719999999998,250.9163363655854,178.0581442745157,0.8913367004009309,SIRA
34990,700.7479999999999,257.01807299313725,174.02150420013044,0.8954267671245649,SIRA
35077,707.6519999999999,261.08521709452873,172.99252057237783,0.8802232382257168,SIRA
35129,703.253,268.4473909380101,167.17026734995972,0.8925909190674842,SIRA
35135,692.108,253.09967494565296,176.90964287269446,0.9217265204275746,SIRA
35152,711.8899999999999,265.1925196716274,169.68851306525744,0.8716339122767061,SIRA
35215,711.318,269.11783075619496,167.0956931374566,0.8746009793402353,SIRA
35249,706.381,272.65987181680845,165.28357267851632,0.8877254000784628,SIRA
35291,723.178,276.2396962687614,163.16130774920467,0.8479757191770101,SIRA
35380,697.3820000000001,255.5805925140798,176.77531238015385,0.9141684425934535,SIRA
35444,716.279,268.08055337204644,169.82399717232195,0.8681367769585979,SIRA
35468,711.8670000000001,273.14295864979744,165.9725365904857,0.8795263236997538,SIRA
35476,711.317,266.8508275396291,169.9283492414836,0.8810856618566808,SIRA
35506,713.086,262.10621492643844,173.24782768541107,0.8774609392861984,SIRA
35561,708.141,259.7683482293285,174.8105517269035,0.8911367401280563,SIRA
35570,710.5300000000001,263.2603830805412,173.37873200286847,0.8853783342900117,SIRA
35633,712.676,262.58848161919997,173.493725835094,0.881612997481756,SIRA
